1,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
2,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1279,2329
3,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
4,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1278,2329
5,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
6,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1285,2329
7,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
8,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1286,2329
9,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
10,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1280,2329
11,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
12,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1279,2329
13,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
14,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1283,2329
15,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
16,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1283,2329
17,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
18,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1277,2329
19,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
20,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1281,2329
21,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
22,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1283,2329
23,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
24,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1278,2329
25,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
26,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1284,2329
27,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
28,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1281,2329
29,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
30,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1282,2329
31,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
32,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1283,2329
33,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
